Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff
1.16,1.97,0.426,695.6,476.2,0.871,0.94769
7.78,1.131,0.307,1672.7,502.9,0.839,1.54521
3.65,1.195,0.294,443.7,398.8,0.946,1.43973
1.56,1.491,0.55,1195.4,418.4,0.929,1.15036
4.0,1.787,0.599,1640.0,553.1,0.764,1.38856
2.12,1.26,0.325,755.0,597.0,0.668,1.27422
7.08,1.108,0.469,1617.5,397.9,0.947,1.22905
3.96,1.071,0.307,966.6,572.1,0.728,1.41187
7.16,1.7,0.31,958.1,380.8,0.96,1.52007
5.97,1.341,0.435,947.4,507.3,0.833,1.4706
4.49,1.886,0.337,491.2,416.7,0.931,1.37589
3.96,1.039,0.255,654.8,327.8,0.992,1.45143
6.83,1.285,0.458,1038.8,524.2,0.81,1.40923
1.39,1.228,0.532,546.5,386.6,0.955,0.97454
6.84,1.839,0.828,453.3,385.4,0.956,1.27432
7.72,1.741,0.698,893.1,403.0,0.942,1.39956
4.09,1.775,0.804,1252.0,348.0,0.981,1.14834
1.45,1.102,0.222,696.4,312.6,0.999,0.97787
2.35,1.922,0.807,1549.1,565.2,0.741,1.09742
8.47,1.594,0.693,1720.9,339.0,0.987,1.29297
3.59,1.172,0.467,905.9,303.4,1.002,1.26066
1.87,1.006,0.331,306.3,305.2,1.002,1.2487
4.16,1.201,0.348,520.8,436.0,0.913,1.4695
3.52,1.675,0.258,1485.2,534.8,0.794,1.23221
7.54,1.071,0.298,555.9,359.4,0.974,1.57843
6.91,1.752,0.326,1154.9,423.6,0.925,1.52271
1.97,1.635,0.463,1098.6,560.7,0.75,1.26321
4.09,1.855,0.784,783.5,426.0,0.922,1.26284
4.05,1.428,0.223,1799.0,458.4,0.891,1.26548
2.86,1.892,0.313,1321.5,491.9,0.852,1.16797
1.72,1.389,0.507,1185.4,444.7,0.905,1.17097
6.01,1.717,0.467,1302.1,512.8,0.826,1.54247
2.33,1.067,0.202,599.6,590.9,0.685,1.22303
7.15,1.272,0.478,1083.7,429.4,0.919,1.39658
3.24,1.218,0.238,724.9,376.3,0.963,1.30832
6.48,1.156,0.485,1436.8,435.4,0.914,1.2311
8.16,1.531,0.296,1189.8,404.5,0.941,1.5755
2.54,1.626,0.697,338.2,304.9,1.002,1.19085
6.0,1.319,0.584,1416.9,573.1,0.726,1.11302
5.4,1.148,0.483,1562.3,318.3,0.997,1.22111
5.06,1.648,0.475,822.4,554.4,0.761,1.50026
3.91,1.064,0.322,1419.2,547.4,0.773,1.38565
3.63,1.373,0.461,1443.9,340.5,0.986,1.39337
7.3,1.548,0.612,582.4,493.9,0.85,1.37999
8.23,1.931,0.716,527.9,375.8,0.963,1.5048
1.57,1.249,0.461,1548.1,489.5,0.855,1.10849
7.46,1.167,0.416,867.8,422.0,0.926,1.44431
8.49,1.942,0.201,1384.9,486.4,0.859,1.25802
8.39,1.62,0.275,1454.3,482.6,0.864,1.55237
5.02,1.54,0.462,354.7,353.3,0.978,1.52707
5.0,1.945,0.497,822.3,372.8,0.965,1.52186
6.04,1.207,0.263,656.1,586.6,0.695,1.54862
1.0,1.966,0.244,1228.0,345.6,0.983,0.46311
5.54,1.94,0.759,1579.6,326.4,0.993,1.3925
2.97,1.766,0.773,1765.4,537.8,0.789,1.07522
2.4,1.071,0.453,765.4,311.2,0.999,1.09778
8.84,1.653,0.229,602.9,396.3,0.948,1.45337
7.25,1.528,0.421,853.2,301.8,1.003,1.58597
8.65,1.897,0.677,601.8,593.4,0.678,1.45641
1.62,1.019,0.249,1464.3,424.5,0.924,1.12936
3.3,1.65,0.359,642.6,351.5,0.979,1.36055
1.53,1.576,0.606,1462.2,314.3,0.998,1.13604
4.89,1.313,0.248,354.7,352.9,0.978,1.43974
1.79,1.674,0.58,428.4,356.7,0.976,1.25326
5.93,1.15,0.209,1262.2,557.7,0.755,1.5041
4.13,1.088,0.46,523.4,465.1,0.883,1.17012
4.09,1.975,0.632,1629.8,593.4,0.678,1.40347
4.27,1.969,0.404,1153.0,371.7,0.966,1.4093
7.37,1.166,0.201,892.9,427.4,0.921,1.52732
7.03,1.084,0.248,536.5,449.8,0.899,1.58246
3.79,1.89,0.799,369.2,364.8,0.971,1.28952
1.84,1.048,0.207,1667.8,458.3,0.891,1.083
7.56,1.801,0.36,1432.2,575.9,0.72,1.58487
3.67,1.917,0.611,678.6,462.2,0.887,1.44421
4.67,1.474,0.518,544.1,377.3,0.962,1.44291
2.52,1.856,0.795,302.4,302.3,1.002,1.21224
7.32,1.691,0.41,1509.1,539.2,0.787,1.58088
1.6,1.166,0.307,698.4,482.0,0.864,1.17096
5.92,1.78,0.334,1395.8,555.4,0.76,1.51254
3.11,1.327,0.541,953.8,588.5,0.691,1.12523
3.95,1.145,0.49,1035.6,483.1,0.863,1.12274
8.24,1.299,0.413,1736.6,513.0,0.825,1.49425
4.71,1.473,0.397,1790.1,552.7,0.764,1.47407
3.02,1.623,0.375,508.4,502.6,0.839,1.37742
8.57,1.796,0.761,857.6,394.0,0.95,1.35975
5.36,1.679,0.336,1528.9,351.2,0.98,1.46642
7.42,1.978,0.587,1560.3,409.9,0.937,1.56907
2.63,1.572,0.397,661.5,386.0,0.956,1.34199
