,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken
2369,1.83,1.465,0.207,1233.1,585.1,0.699,0.92497,0.00075,20.639164
2370,6.13,1.633,0.655,1600.4,588.0,0.692,1.25674,0.00103,13.836625
2371,4.35,1.858,0.556,968.0,490.9,0.854,1.47561,0.00078,11.500515
2372,8.9,1.963,0.429,1560.0,317.3,0.997,1.59278,0.00086,9.993362
2373,2.41,1.19,0.306,1415.7,417.0,0.931,1.2958,0.00093,14.953818
2374,4.04,1.244,0.454,927.0,545.8,0.776,1.30511,0.00092,14.534444
2375,1.52,1.117,0.373,1146.3,482.4,0.864,1.14389,0.00076,16.704175
2376,6.07,1.212,0.363,1509.5,319.6,0.996,1.50789,0.00089,12.117811
2377,4.93,1.289,0.491,1072.4,563.2,0.745,1.28201,0.0009,15.189611
2378,6.41,1.966,0.571,1113.3,572.8,0.726,1.52629,0.0008,11.0122
2379,3.96,1.448,0.524,867.7,319.5,0.996,1.38953,0.00088,12.370424
2380,6.52,1.894,0.29,1326.3,424.3,0.924,1.40378,0.00088,12.82413
2381,4.64,1.156,0.367,677.0,585.1,0.699,1.40138,0.00098,14.674536
2382,1.74,1.115,0.439,816.4,491.5,0.853,1.08614,0.00099,18.059989
2383,7.27,1.93,0.521,1743.4,588.3,0.691,1.5459,0.00078,10.89184
2384,1.73,1.523,0.493,746.6,385.7,0.956,1.23295,0.00072,14.288553
2385,8.42,1.162,0.468,344.5,532.6,0.797,1.32857,0.00088,15.851782
2386,4.87,1.771,0.72,1729.3,442.4,0.907,1.29085,0.00095,13.146921
2387,6.51,1.122,0.355,1257.7,327.7,0.992,1.49425,0.00087,12.293773
2388,9.0,1.303,0.245,1129.5,488.7,0.856,1.59673,0.00084,12.180756
2389,1.65,1.315,0.362,1121.6,323.0,0.994,1.18521,0.00093,14.693543
2390,8.74,1.458,0.403,1194.8,337.2,0.987,1.59269,0.00078,10.748023
2391,3.36,1.276,0.44,1067.2,302.8,1.002,1.36776,0.00087,13.771964
2392,3.55,1.943,0.676,871.4,533.6,0.796,1.37701,0.00089,12.228189
2393,1.83,1.586,0.538,421.7,314.8,0.998,1.2615,0.00088,13.447481
2394,3.61,1.172,0.321,1686.2,312.9,0.999,1.41502,0.00094,13.427703
2395,3.6,1.202,0.378,1666.6,597.3,0.667,1.33052,0.0009,15.084306
2396,5.02,1.314,0.256,674.9,305.4,1.001,1.44725,0.00086,12.755038
2397,8.4,1.478,0.581,1345.1,466.5,0.882,1.37037,0.00089,12.880579
2398,2.79,1.259,0.334,1234.4,591.6,0.683,1.34381,0.0008,14.515534
2399,4.35,1.657,0.345,1604.1,433.2,0.916,1.42685,0.00079,13.052071
2400,5.48,1.753,0.472,1517.8,387.9,0.954,1.52671,0.0008,11.342784
2401,4.71,1.49,0.25,1540.0,429.7,0.919,1.35896,0.00078,14.401783
2402,4.24,1.866,0.53,1570.5,526.9,0.806,1.4656,0.0009,12.119011
2403,7.35,1.643,0.601,1786.6,562.3,0.747,1.38146,0.00088,12.819763
2404,1.29,1.108,0.374,735.9,396.3,0.948,1.10982,0.00093,17.138298
2405,1.59,1.003,0.313,1151.4,372.5,0.966,1.17128,0.00096,16.496621
2406,3.66,1.659,0.506,616.2,463.4,0.885,1.44278,0.00095,12.179913
2407,3.13,1.773,0.239,1417.7,535.3,0.793,1.08587,0.00083,17.61954
2408,6.38,1.525,0.264,906.1,379.3,0.961,1.46668,0.00086,12.678646
2409,3.74,1.009,0.333,642.1,482.4,0.864,1.37319,0.00095,15.211388
2410,4.26,1.332,0.21,1478.7,444.0,0.905,1.29122,0.00089,15.627782
2411,7.08,1.881,0.577,1383.5,396.1,0.948,1.54794,0.00094,10.535123
2412,7.14,1.205,0.423,686.5,490.0,0.855,1.43698,0.00092,13.88637
2413,4.18,1.534,0.289,1192.1,449.3,0.9,1.38196,0.00087,13.661968
2414,7.8,1.234,0.216,986.3,589.7,0.688,1.57029,0.00088,16.823485
2415,2.09,1.123,0.281,972.9,576.2,0.719,1.25608,0.00088,20.169597
2416,1.83,1.182,0.361,883.1,345.9,0.983,1.23582,0.00084,17.557838
2417,5.95,1.251,0.433,493.1,402.3,0.943,1.46192,0.00094,16.06689
2418,6.58,1.285,0.471,1683.5,352.8,0.979,1.40559,0.00096,15.729454
2419,3.97,1.846,0.742,1347.9,510.9,0.828,1.26666,0.00082,16.289374
2420,8.13,1.107,0.397,722.6,367.1,0.969,1.44983,0.00097,16.700978
2421,5.68,1.136,0.235,399.9,535.9,0.792,1.53002,0.00081,16.581262
2422,2.76,1.935,0.467,1448.3,306.3,1.001,1.32094,0.00096,16.151191
2423,3.57,1.51,0.27,1746.7,522.9,0.811,1.31964,0.00101,16.091978
2424,8.59,1.203,0.487,998.2,436.2,0.913,1.33054,0.00082,15.051195
2425,2.67,1.707,0.627,1116.7,432.8,0.916,1.29565,0.00088,13.006052
2426,3.34,1.747,0.408,1052.0,500.0,0.842,1.40098,0.00099,13.072422
2427,6.52,1.853,0.319,1236.8,465.4,0.883,1.48005,0.00084,12.187062
2428,6.58,1.2,0.398,360.7,509.8,0.83,1.47553,0.00087,13.446251
2429,6.6,1.075,0.404,883.4,316.6,0.997,1.38264,0.0009,13.658759
2430,3.07,1.811,0.72,764.4,526.1,0.807,1.24981,0.00094,13.432634
2431,7.62,1.305,0.265,991.3,360.9,0.973,1.56864,0.00086,11.80317
2432,2.28,1.527,0.411,1579.1,567.6,0.737,1.29425,0.00083,14.575175
2433,6.42,1.237,0.452,1240.9,414.9,0.932,1.39968,0.00086,12.825411
